danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,album_uri,track_number,track_name,album_name,album_img,album_release_date,album_release_year,artist_img
0.65,0.756,5.0,-7.531,1.0,0.0829,0.261,NA,0.466,0.79,135.869,6jcO51f5vHa9cJfCnfX1Rf,289973.0,4.0,709gu2Yj2tfqmNMIEDfOPg,1.0,Soul Shakedown Party,Amsterdam,https://i.scdn.co/image/712c79cf7a60b44b7b8e593bbd9b89f85c5556b4,1997,1997.0,https://i.scdn.co/image/78057c8a3385c067a5b756e803248e17c9fc03d8
0.24,0.844,2.0,-6.961,1.0,0.0505,0.259,0.0582,0.956,0.34,94.237,2jT3iJ9w0WD51E2VRDPzOD,812453.0,4.0,709gu2Yj2tfqmNMIEDfOPg,2.0,Divided Sky,Amsterdam,https://i.scdn.co/image/712c79cf7a60b44b7b8e593bbd9b89f85c5556b4,1997,1997.0,https://i.scdn.co/image/78057c8a3385c067a5b756e803248e17c9fc03d8
0.365,0.875,9.0,-5.44,1.0,0.141,0.282,5.96e-4,0.763,0.258,100.544,6nnNtd2jWP9GemBULz9Ufm,284760.0,4.0,709gu2Yj2tfqmNMIEDfOPg,3.0,Wilson,Amsterdam,https://i.scdn.co/image/712c79cf7a60b44b7b8e593bbd9b89f85c5556b4,1997,1997.0,https://i.scdn.co/image/78057c8a3385c067a5b756e803248e17c9fc03d8
0.443,0.96,9.0,-4.663,1.0,0.0775,0.185,0.128,0.919,0.67,128.518,3LeOqlr75FsG7j71GMVJc4,313120.0,4.0,709gu2Yj2tfqmNMIEDfOPg,4.0,My Soul,Amsterdam,https://i.scdn.co/image/712c79cf7a60b44b7b8e593bbd9b89f85c5556b4,1997,1997.0,https://i.scdn.co/image/78057c8a3385c067a5b756e803248e17c9fc03d8
0.347,0.852,0.0,-6.527,1.0,0.0513,0.263,0.297,0.942,0.472,141.856,3JenRA5oFMMABGRXatnK80,613520.0,3.0,709gu2Yj2tfqmNMIEDfOPg,5.0,Guyute,Amsterdam,https://i.scdn.co/image/712c79cf7a60b44b7b8e593bbd9b89f85c5556b4,1997,1997.0,https://i.scdn.co/image/78057c8a3385c067a5b756e803248e17c9fc03d8
0.335,0.883,5.0,-6.722,0.0,0.046,0.385,0.202,0.779,0.766,98.515,7wmL8PnzLRlnxtGh79NGbt,425413.0,4.0,709gu2Yj2tfqmNMIEDfOPg,6.0,Timber,Amsterdam,https://i.scdn.co/image/712c79cf7a60b44b7b8e593bbd9b89f85c5556b4,1997,1997.0,https://i.scdn.co/image/78057c8a3385c067a5b756e803248e17c9fc03d8
0.331,0.717,10.0,-6.531,1.0,0.0289,0.347,1.33e-4,0.901,0.252,72.495,6FxgVZ7hMXu6o2hKuzljCW,416440.0,4.0,709gu2Yj2tfqmNMIEDfOPg,7.0,Billy Breathes,Amsterdam,https://i.scdn.co/image/712c79cf7a60b44b7b8e593bbd9b89f85c5556b4,1997,1997.0,https://i.scdn.co/image/78057c8a3385c067a5b756e803248e17c9fc03d8
0.267,0.991,11.0,-5.196,0.0,0.139,0.111,0.144,0.705,0.294,96.255,3j1gqxYdX5eDJQmT9myjUd,242933.0,4.0,709gu2Yj2tfqmNMIEDfOPg,8.0,Llama,Amsterdam,https://i.scdn.co/image/712c79cf7a60b44b7b8e593bbd9b89f85c5556b4,1997,1997.0,https://i.scdn.co/image/78057c8a3385c067a5b756e803248e17c9fc03d8
0.434,0.834,0.0,-5.999,1.0,0.0423,0.21,0.0524,0.369,0.824,118.021,1nZBf3KEHNO1NwVMnCPRWd,783173.0,4.0,709gu2Yj2tfqmNMIEDfOPg,9.0,Bathtub Gin,Amsterdam,https://i.scdn.co/image/712c79cf7a60b44b7b8e593bbd9b89f85c5556b4,1997,1997.0,https://i.scdn.co/image/78057c8a3385c067a5b756e803248e17c9fc03d8
0.466,0.933,5.0,-5.979,1.0,0.0617,0.26,0.00182,0.697,0.535,101.771,4jkAhuBnSCn4p4WCkBHaoM,297987.0,4.0,709gu2Yj2tfqmNMIEDfOPg,10.0,Golgi Apparatus,Amsterdam,https://i.scdn.co/image/712c79cf7a60b44b7b8e593bbd9b89f85c5556b4,1997,1997.0,https://i.scdn.co/image/78057c8a3385c067a5b756e803248e17c9fc03d8
